filename,cluster_id,yaw,pitch,roll,focal_length,fx,fy,cx,cy,exposure,iso,aperture
0.jpg,0,10.5838,0.8604,-1.1775,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
1.jpg,0,19.7972,34.7731,3.6816,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
2.jpg,0,27.9270,-30.0842,4.1880,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
3.jpg,1,41.2239,-1.3080,0.4660,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
4.jpg,1,43.2488,26.7435,1.7238,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
5.jpg,1,46.9069,-37.9579,0.8803,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
6.jpg,2,58.3418,-7.0552,1.1070,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
7.jpg,2,65.7650,25.3135,2.9390,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
8.jpg,2,69.8312,-29.0870,-0.0106,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
9.jpg,3,81.7117,-1.8004,2.7961,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
10.jpg,3,98.2846,33.3791,14.5374,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
11.jpg,3,93.4858,-27.3878,1.7816,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
12.jpg,4,110.2785,0.1318,2.8837,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
13.jpg,4,122.3200,26.2050,4.6777,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
14.jpg,4,130.1361,-38.5987,0.0979,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
15.jpg,5,147.6549,-3.6654,3.5374,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
16.jpg,5,149.6259,35.3119,7.9589,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
17.jpg,5,150.4084,-35.5554,-1.0977,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
18.jpg,6,172.9545,-0.6261,0.1281,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
19.jpg,6,176.4433,28.5853,4.0010,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
20.jpg,6,177.1056,-36.2955,1.4146,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
21.jpg,7,202.8138,-2.3758,0.7033,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
22.jpg,7,205.8085,28.7028,7.0378,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
23.jpg,7,201.5738,-38.5689,-2.5555,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
24.jpg,8,210.3300,-1.4896,1.6335,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
25.jpg,8,226.5794,33.3363,17.3947,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
26.jpg,8,225.4389,-37.0868,0.1062,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
27.jpg,9,240.5268,1.7802,1.8907,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
28.jpg,9,250.2240,26.2352,11.5166,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
29.jpg,9,251.0763,-32.9694,1.8670,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
30.jpg,10,268.7846,15.8216,3.7304,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
31.jpg,10,278.2487,31.9389,16.5348,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
32.jpg,10,280.5771,-37.0133,-3.3296,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
33.jpg,11,294.8032,2.6302,2.0601,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
34.jpg,11,302.3623,32.1011,19.6398,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
35.jpg,11,303.1255,-37.7056,-2.0966,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
36.jpg,12,310.2541,-11.9488,2.9851,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
37.jpg,12,330.5473,32.0803,8.9112,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
38.jpg,12,330.7257,-37.5814,3.2954,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
39.jpg,13,349.8065,-5.7219,3.4350,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
40.jpg,13,4.0626,28.0881,6.2552,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
41.jpg,13,8.9351,-36.5018,-1.2032,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
42.jpg,100,344.1301,85.3142,-6.4470,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
43.jpg,200,20.8882,-87.1360,-26.0688,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
